mat_id,drop_values
mp-607,"[0.5760558666761733, 0.5495915097105235, 0.9533129412320164, 0.939703620553406]"
mp-612,"[0.9850883947173139, 0.06478403499325992, 0.9746331773057036, 0.976407745187442, 0.059521882446622494, 0.9872871204415189]"
mp-614,"[0.9968505764162761, 0.6888189297668191, 0.996782045594768, 0.9968685493797192]"
mp-619,"[0.46354845135117284, 0.4595069830602834, 0.5569113732837985, 0.335072929906885]"
mp-639,"[0.8399443378993008, 0.11528908969702442, 0.4166077072184757]"
mp-641,"[2.7265737721001644, 0.06574884324482189, 0.5696575403094669, 0.9455356103574932, 0.9765903179474376, 0.8246064776765832, 0.5120205094886319]"
mp-644,"[0.9471798967973495, 0.9614572911202434, 0.9610231023472224]"
mp-654,"[0.985642396739988, 0.9822384897507755, 0.9822912241892084, 0.9822206134486199, 0.9820690495155753, 0.9844731667329637]"
mp-666,"[0.9677509346207298, 0.9513419194072836]"
mp-679,"[0.983984510604655, 0.9841174016714381, 0.9895814382785523, 0.9839826518198188, 0.9839927163210475]"
mp-681,"[0.993928354074809, 0.9949671366012773, 0.9949511864916117, 0.994927880459445, 0.9938584964634704, 0.9949211925649253]"
mp-690,"[0.879841997339568, 0.8758508013398965, 0.8703466815803755, 0.3211625372563362]"
mp-698,"[0.6390288108203768, 0.9286592986975502, 0.9282891497531246]"
mp-702,"[0.9667308326741089, 0.9667054223519181, 0.9666955441645871]"
mp-711,"[4.060492902084293, -0.09027145433427294, 3.4813165637801107]"
mp-723,"[0.9704916558377966, 0.974399274407966, 0.9708709459041981, 0.9639290563130649, 0.970969202126821, 0.9709605331478092, 0.9637341889360462, 0.9706560530986883, 0.9738859451901021]"
mp-726,"[0.9834252855769104, 0.7052355623616221, 0.7530122684773558, -0.020995848435777315, 0.730710468806032, 0.7079240759452928]"
mp-733,"[0.5050783448139062, -0.03389027729590559, 0.32033294595080863]"
mp-743,"[0.9901598043673473, 0.7946498090328118, 0.9903434493928885]"
mp-748,"[0.9803826587161119, 0.9557346552205475, 0.9559583717108036, 0.9795714211318981, 0.9776896620483916, 0.976131555341923, 0.9782519747653059]"
mp-761,"[0.9344217820658007, 0.9420688778339708]"
mp-764,"[0.962204295815874, 0.9628281594732042, 0.9627023165969315]"
mp-774,"[0.9823028256787811, 0.3493577725049151, 0.9850216285926686]"
mp-775,"[0.9784338696185563, 0.9724595594027396, 0.9703252910563108, 0.9751290785749263, 0.9752768319911305, 0.9699690534106895, 0.9711563587739774]"
mp-787,"[0.9537821426655567, 0.9537672972579069]"
mp-807,"[0.9796677224578204, 0.979643268393283, 0.9796623387167915]"
mp-809,"[0.9633564213550612, 0.9637483150145154, 0.9631319173559192]"
mp-812,"[0.9844003987206811, 0.9843995147578553, 0.9844871275184458, 0.9895682284798911, 0.9844740894244018]"
mp-821,"[0.851577473799721, 0.9892536877099901, 0.7909165696241081, 0.9878319470713611, 0.9737287894636415, 0.7120529153620078, 0.9815218378756225]"
mp-843,"[0.9860344830896074, 0.9822430652951347, 0.9821936328384298, 0.9821064095057221, 0.9820323247200544, 0.9857771665336968, 0.9808838485645709]"
mp-844,"[0.9795137943990557, 0.9794845219054734, 0.9793587406526758, 0.9793481062513107]"
mp-853,"[0.3267197155367687, 0.983642957659465, 0.98165715797674]"
mp-863,"[0.954973360338307, 0.955418237698025, 0.9549251491739982, 0.9553795091528285, 0.9547258375202534, 0.9553347622457995]"
mp-878,"[0.1987787097327075, 0.5476069148146159, 0.7588241866373778, 0.8312385392193375, 0.8310094860450099, 0.39507114494435397, 0.6730195232447055]"
mp-879,"[0.9696796937932981, 0.9696966357038908]"
mp-880,"[0.9868414659922428, 0.982099148776762, 0.9821821485651103, 0.9819384713927934, 0.9819837829371393, 0.9842159573077459]"
mp-881,"[0.9793188923328044, 0.9791570806582525, 0.9791155757884118]"
mp-909,"[0.8037150971385284, 0.8560860189587882, 0.3746908588704686, 0.4549617913396227, 0.8845378761052527]"
