Index,MP ID,Chemical Formula,Anonymous Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,"d_NN,max",d_NNN,"NN,max/NN","NNN/NN,max",NNN/NN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,ICSD Reference,FB Lattice Dimensionality,FB Lattice IDs,Systre Key,Systre Spacegroup,RCSR Name,Flat with decay,Flat with no decay,FB Lattice with chi=1.02 and no decay,FB Lattice with chi=1.05 and no decay,FB Lattice with chi=1.1 and no decay,FB Lattice with chi=1.2 and no decay,FB Lattice with chi=1.4 and no decay,FB Lattice with chi=1.02 and decay,FB Lattice with chi=1.05 and decay,FB Lattice with chi=1.1 and decay,FB Lattice with chi=1.2 and decay,FB Lattice with chi=1.4 and decay
19277,mp-1246492,Mg2Mn3InS8,AB2C3D8,Mn,1,14,3,3.66762,3.69941,6.3359,1.00866774638594,1.71267850819455,1.72752357114423,4,['R-3m'],166,-1.03271586491379,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19281,mp-763910,Li4MnFe3O8,AB3C4D8,Fe,1,16,3,2.95472,3.01135,5.15063,1.01916594465804,1.7104056320255,1.7431871717117,4,['C2/m'],12,-1.98605962695402,1.0549,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19299,mp-757071,Li3Fe4SnO8,AB3C4D8,Li,1,16,3,3.06823,3.08342,5.20587,1.00495073706991,1.68834281414793,1.69670135550464,4,['C2/m'],12,-1.8420458728125,1.0945,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19313,mp-1224395,Hf(AlFe)6,AB6C6,Fe,2,13,6,2.46833,2.47595,4.01644,1.00308710747753,1.62218138492296,1.62718923320626,3,['Immm'],71,-0.387344114615385,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19343,mp-4338,Cr2CdS4,AB2C4,Cr,2,14,4,3.65055,3.65055,6.32293,1,1.73204859541713,1.73204859541713,3,['Fd-3m'],227,-0.989125386785714,0,619697,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19358,mp-1077334,ErMnNi4,ABC4,Ni,2,6,4,2.42042,2.4532,4.22071,1.01354310408937,1.7204916028045,1.74379239966617,3,['F-43m'],216,-0.300837076321838,0,630772,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19411,mp-756824,Li3V(FeO2)4,AB3C4D8,Li,1,16,3,2.99257,3.00317,5.15754,1.00354210594907,1.7173653173147,1.72344840722189,4,['C2/m'],12,-1.89963383875,0.121300000000001,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19451,mp-19800,Fe11Si5,A5B11,Si,2,16,5,2.78507,2.78507,3.93869,1,1.41421580068005,1.41421580068005,2,['Pm-3m'],221,-0.327894375624999,0,77369,[3],['SK-35'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0'],['Pm-3m'],['None'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19458,mp-1223251,La2(TlPb)3,A2B3C3,Pb,1,8,3,3.46897,3.46897,4.84615,1,1.39699968578569,1.39699968578569,3,['Pmmm'],47,-0.4023983375,0,-1,[1],['LI-1'],['NN_COLLISION'],['None'],['None'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
19465,mp-1219647,Rb2Zn3GeAs4,AB2C3D4,Zn,1,10,3,2.94134,2.94491,4.16221,1.00121373251647,1.41335728426336,1.41507272195666,4,['C222'],21,-0.314626667,0,-1,[2],['SK-4'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0'],['p4mm'],['None'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19469,mp-769630,Li2Mn3F8,A2B3C8,Mn,1,13,3,3.16319,3.16319,5.41813,1,1.71286897088066,1.71286897088066,3,['R-3m'],166,-2.93756503541998,3.3809,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19481,mp-5670,LiTi2O4,AB2C4,Ti,2,14,4,2.99302,2.99302,5.18406,1,1.73204990277379,1.73204990277379,3,['Fd-3m'],227,-3.24621039214286,0,72859,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19505,mp-4409,Cu(RhO2)2,AB2C4,Rh,2,14,4,3.04907,3.04907,5.28114,1,1.73204944458474,1.73204944458474,3,['Fd-3m'],227,-1.04989880428572,0,88962,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19522,mp-1247142,Mg2Co3WS8,AB2C3D8,Co,1,14,3,3.53817,3.53906,6.10068,1.00025154246404,1.72381366803615,1.72424728037375,4,['R-3m'],166,-0.844215887142857,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19532,mp-1104854,Ni3(PbS)2,A2B2C3,Ni,2,14,6,2.84513,2.84513,4.02348,1,1.41416385191538,1.41416385191538,3,['I2_13'],199,-0.468941124464286,0,159363,[3],['SK-5'],['3 1 2 0 0 0 1 3 0 0 0 1 4 0 0 0 1 5 0 0 0 2 3 0 0 0 2 5 1 0 0 2 6 0 0 0 3 4 0 0 1 3 6 0 1 0 4 5 0 0 0 4 6 0 1 -1 5 6 -1 0 0'],['I4132'],['lcv'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19553,mp-645166,Tb(GaFe)6,AB6C6,Fe,2,13,6,2.55499,2.57388,4.20482,1.00739337531654,1.63365036443035,1.64572855471059,3,['Immm'],71,-0.300837153461538,0,631827,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19571,mvc-4689,Zn(SnO2)2,AB2C4,Sn,2,14,4,3.28849,3.28849,5.69584,1,1.73205331322279,1.73205331322279,3,['Fd-3m'],227,-1.573604065,0,-1,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19573,mp-1720,SmRu2,AB2,Ru,2,6,4,2.69892,2.69892,4.67466,1,1.73204837490552,1.73204837490552,2,['Fd-3m'],227,-0.199185595000001,0,105990,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19594,mp-1104438,Hf(GaFe)6,AB6C6,Fe,2,13,6,2.48518,2.49396,4.10281,1.00353294328781,1.64509855811641,1.65091059802509,3,['Immm'],71,-0.285603148846154,0,631771,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19608,mp-555891,SiO2,AB2,O,4,12,8,2.61633,2.66189,4.02078,1.01741370545765,1.51049817986468,1.53680155026316,2,['P2_1'],4,-3.259357255,5.3969,154321,[3],['SK-119'],['3 1 2 0 0 0 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 1 5 0 0 0 2 3 0 0 0 2 4 0 0 0 2 6 0 0 0 2 7 0 0 0 2 8 0 0 0 3 4 0 0 0 3 4 1 -1 0 3 5 0 -1 0 4 5 -1 0 0 5 6 0 1 1 5 7 1 0 1 5 8 0 0 1 6 7 0 0 0 6 7 1 -1 0 6 8 0 -1 0 6 8 0 0 0 7 8 -1 0 0 7 8 0 0 0'],['P63/mmc'],['lon-e'],FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19637,mp-2720,NdPt2,AB2,Pt,2,6,4,2.76218,2.76218,4.78424,1,1.73205221962363,1.73205221962363,2,['Fd-3m'],227,-1.03814272,0,645729,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19638,mp-1246585,SmMg2Ti3S8,AB2C3D8,Ti,1,14,3,3.67743,3.68532,6.36701,1.00214552010507,1.72766815364744,1.73137490040599,4,['R-3m'],166,-1.71051999214286,0,-1,[2],['SK-1'],['2 1 2 0 0 1 2 0 1 1 3 0 0 1 3 1 0 2 3 0 -1 2 3 1 0'],['p6mm'],['kgm'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19641,mp-1003486,CaMnO2,ABC2,Mn,2,16,4,3.30112,3.30112,5.7177,1,1.732048516867,1.732048516867,3,['Fd-3m'],227,-2.61738556823276,0,-1,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19642,mp-1003486,CaMnO2,ABC2,Ca,2,16,4,3.30112,3.30112,5.7177,1,1.732048516867,1.732048516867,3,['Fd-3m'],227,-2.61738556823276,0,-1,[3],['SK-3'],['3 1 2 0 0 0 1 2 0 0 1 1 3 0 0 0 1 3 0 1 0 1 4 0 0 0 1 4 1 0 0 2 3 0 0 -1 2 3 0 1 0 2 4 0 0 -1 2 4 1 0 0 3 4 0 0 0 3 4 1 -1 0'],['Fd-3m'],['crs'],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
