mp-ID,Formula,SynthNN_score
mp-2748,CeAs,0.13281645
mp-2750,Cr2Te3,0.64103514
mp-2753,Tl4S3,0.27877405
mp-2754,Hf2Fe,0.09783909
mp-2756,CeAg,0.009631272
mp-2759,Ho6Fe23,0.5949692
mp-2764,LaNi3,0.72078955
mp-2779,FeS,0.6583043
mp-2780,Fe3Se4,0.31116843
mp-2794,Fe5C2,0.5993966
mp-2801,CeCu2,0.43325338
mp-2804,LaP2,0.040522393
mp-2827,YCo5,0.55574113
mp-2832,Cr2Se3,0.90691
mp-2837,PrCo5,0.75760555
mp-2838,UNi5,0.1681155
mp-2839,CeC2,0.6163586
mp-2840,PuIr2,0.03710734
mp-2848,Pu5Ir3,0.16199121
mp-2849,US2,0.69692963
mp-2856,Mn4Al11,0.4773589
mp-2863,CeCd3,0.5316972
mp-2868,Th11(Ru2C3)6,0.004703269
mp-2878,Li3PO4,0.8360968
mp-2879,SrSnO3,0.8592636
mp-2882,Y2Cu2O5,0.72379714
mp-2883,Sm2Sn2O7,0.8201712
mp-2884,Cs2Mn3S4,0.70635426
mp-2885,Ga(MoS2)4,0.03424652
mp-2892,BaNd2O4,0.94552404
mp-2895,Mg2SiO4,0.89316756
mp-2903,UAl3Ni2,0.85970736
mp-2910,KAlF4,0.9845405
mp-2911,Ba3(SnP2)2,0.017497633
mp-2923,Ca2Os2O7,0.8326714
mp-2928,FePSe3,0.5084326
mp-2931,Li2TiO3,0.9508308
mp-2939,BaTbO3,0.3033461
mp-2943,KY3F10,0.9608981
mp-2948,Si2N2O,0.842978
mp-2951,CdGeO3,0.95516145
mp-2955,NaMgF3,0.9424786
mp-2956,Co2(GeS)3,0.002796743
mp-2965,Ce(MnSi)2,0.12007184
mp-2968,Sr(MnSb)2,0.07447806
mp-2970,Na4GeO4,0.8134392
mp-2971,U(CrC)4,0.4228796
mp-2973,Pr3Sb5O12,0.9287847
mp-2980,Pr2Te4O11,0.93064946
mp-2981,CaTeO3,0.98444045
mp-2983,Ba(PN2)2,0.15811944
mp-2995,La2Fe2S5,0.84128886
mp-3006,P2Pd3S8,0.33320287
mp-3010,Rb2TbF6,0.39955926
mp-3017,Na6CoSe4,0.4705612
mp-3031,BaSi2O5,0.98100054
mp-3032,RbBF4,0.92229027
mp-3033,RbTaO3,0.9131007
mp-3035,Ce(FeSi)2,0.29133347
mp-3037,UTeO,0.030623008
mp-3042,K2SiF6,0.9847152
mp-3045,ErFe4B,0.8986377
mp-3048,U2SeN2,0.4550868
mp-3050,Y3Al5O12,0.9664347
mp-3051,Mg2GeO4,0.89897424
mp-3071,Nd3Ni13B2,0.8976477
mp-3073,Sm2Te4O11,0.95613265
mp-3074,KAgO,0.5436173
mp-3075,TlGeS2,0.27296796
mp-3079,CaTa4O11,0.99414635
mp-3080,Ca5(Ga3O7)2,0.00092615
mp-3082,CaSO4,0.9082917
mp-3084,Sc2Ni12P7,0.86989033
mp-3094,SrAl2O4,0.9786647
mp-3107,Ga3PO7,0.96318376
mp-3109,UGeTe,0.0715165
mp-3114,Tb2(MoO4)3,0.11208263
mp-3118,Mg3TeO6,0.38033736
mp-3120,Tm2Cu2O5,0.39395678
mp-3138,Na8SnSb4,0.19017991
mp-3142,Ca(NO3)2,0.31546712
mp-3143,Na2SO4,0.933706
mp-3154,Sm3Sb5O12,0.9246131
mp-3164,BaSO4,0.985718
mp-3172,Ag3AuSe2,0.49516204
mp-3180,Ta2Te2O9,0.8882692
mp-3193,Na2Si2O5,0.9854988
mp-3202,BaNi9P5,0.8765873
mp-3217,USeO,0.42018571
mp-3219,EuPO4,0.9826249
mp-3222,La3RuO7,0.9466118
mp-3237,Na2CuF4,0.7185282
mp-3249,La4Ti3O12,0.96932185
mp-3252,SrTe3O8,0.98204
mp-3257,KAuSe5,0.124914706
mp-3258,Ca3Ru2O7,0.9759275
mp-3263,USO,0.48378554
mp-3269,NaTh2F9,0.9699508
mp-3273,Si5P6O25,0.96199614
mp-3281,Al5BO9,0.88904846
mp-3283,RbNbO3,0.9815237
mp-3284,CeSi2Pt,0.6675142
mp-3285,Na2Ta4O11,0.9941713
mp-3286,Ce(AlZn)2,0.38068146
mp-3288,CsNO2,0.1424239
mp-3289,LaMgNi4,0.6558807
mp-3297,Li10Zn4O9,0.64243174
mp-3303,Ce(AlGa)2,0.21717249
mp-3311,SrUO4,0.98351616
mp-3312,Cs(SbSe2)2,0.9678505
mp-3319,Mg(RhO2)2,0.00095767
mp-3325,Ce(NiGe)2,0.83316207
