mat_id,av_drop,max_drop,min_drop
mp-775767,0.9897275247422245,0.994525834817211,0.9843353731126795
mp-775770,0.9963574989254599,0.9991651131540292,0.9940003493616654
mp-775771,0.9985573637461808,0.9985743884689295,0.998540339023432
mp-775773,0.99485067748578,0.9950013614974782,0.9947074380110421
mp-775803,0.9917306537405771,0.994088610736113,0.990449612054934
mp-775811,0.9952438628537575,0.9968465622657622,0.9921016182435437
mp-775820,0.9915561214892191,0.9945453622739919,0.9899456139820264
mp-775821,0.9923939962005551,0.9948056881076404,0.9900725153019423
mp-775864,0.9964636547798543,0.9982319099972973,0.9946953995624114
mp-775868,0.9990975377106617,0.9995000661199934,0.99869500930133
mp-775891,0.9961235362333536,0.9988260153301033,0.9934210571366039
mp-775892,0.9969698259038635,0.9977954895596853,0.9961441622480416
mp-775925,-1.0,-1.0,-1.0
mp-775926,0.9958040310687717,0.9965146482010233,0.9952759089612891
mp-775934,0.9978611585692925,0.9980638341101439,0.9976584830284411
mp-775941,0.995138620890729,0.9991555493311077,0.9907797506177406
mp-775959,-1.0,-1.0,-1.0
mp-775967,0.9985399029381316,0.9985716720894621,0.998522091190828
mp-775968,0.9933970724402008,0.9986336282426782,0.9881605166377234
mp-775978,-1.0,-1.0,-1.0
mp-775982,-1.0,-1.0,-1.0
mp-775984,0.9960987014372078,0.9991366346562055,0.9939478038859786
mp-775990,0.9960533049896028,0.9992129057117328,0.9941530327613796
