,score
mp-6744,0.996618158
mp-6745,0.974807275
mp-6748,0.88084283
mp-6755,0.976296796
mp-6757,0.836632058
mp-6759,0.554836325
mp-6760,0.797798512
mp-6761,0.996623349
mp-6763,0.609686994
mp-6765,0.941888446
mp-6766,0.957193749
mp-6775,0.957849881
mp-6779,0.960693026
mp-6783,0.964649053
mp-6785,0.679992468
mp-6787,0.981395098
mp-6788,0.978259635
mp-5824,0.995351927
mp-5927,0.917287492
mp-6032,0.946357736
mp-6078,0.98527043
mp-6137,0.501801879
mp-6203,0.981682869
mp-6276,0.988386057
mp-6342,0.948560435
mp-6441,0.966243708
mp-6493,0.975759069
mp-6553,0.970162081
mp-6643,0.678911075
mp-6695,0.869576086
mp-6891,0.985166105
mp-7012,0.989828606
mp-7210,0.640409081
mp-7500,0.995863804
mp-7622,0.908634613
mp-7762,0.880319305
mp-7935,0.951852167
mp-5391,0.992414067
mp-5392,0.990608228
mp-5403,0.99599523
mp-5409,0.848480601
mp-5416,0.987094802
mp-5433,0.880876002
mp-5434,0.955584435
mp-5436,0.948299023
mp-5439,0.931937051
mp-5440,0.994861626
mp-5444,0.697384566
mp-5447,0.880876002
mp-5448,0.925918802
mp-5449,0.958391472
mp-5450,0.930260959
mp-5452,0.948791119
mp-5455,0.923245072
mp-5457,0.754854418
mp-5461,0.994487395
mp-5472,0.945536792
mp-5476,0.961244321
mp-5477,0.991896648
mp-5481,0.461987912
mp-5487,0.839855715
mp-5492,0.950476316
mp-5505,0.700339349
mp-5510,0.948791119
mp-5516,0.98463571
mp-5525,0.953841748
mp-5529,0.948299023
mp-5537,0.964941454
mp-5544,0.923245072
mp-5547,0.989418887
mp-5548,0.919269511
mp-5556,0.948791119
mp-5558,0.935011371
mp-5568,0.754854418
mp-5572,0.915734331
mp-5575,0.981173256
mp-5577,0.948791119
mp-5584,0.786192749
mp-5586,0.985172003
mp-5588,0.996362793
mp-5599,0.776210629
mp-5602,0.981386614
mp-5603,0.890970566
mp-5605,0.948791119
mp-5611,0.961314317
mp-5616,0.888773892
mp-5626,0.92998006
mp-5639,0.974575044
mp-5641,0.982890575
mp-5652,0.765068286
mp-5662,0.973905997
mp-5683,0.948791119
mp-5684,0.953604041
mp-5690,0.992235279
mp-5704,0.968333959
mp-5706,0.991092286
mp-5711,0.981121479
mp-5730,0.555877471
mp-5732,0.995884201
mp-5734,0.948791119
mp-5735,0.986577603
mp-5739,0.390592529
mp-5749,0.901384385
mp-5757,0.948791119
mp-5759,0.619160622
mp-5766,0.949000017
mp-5769,0.827017801
mp-5773,0.800609933
mp-5779,0.880876002
mp-5786,0.948791115
mp-5788,0.996618158
mp-5794,0.983346632
mp-5800,0.76630908
mp-5807,0.990991317
mp-5816,0.990295757
mp-5820,0.948791119
mp-5830,0.927690357
mp-5838,0.936336079
mp-5843,0.911606265
mp-5858,0.947680477
mp-5859,0.598956217
mp-5861,0.985208426
mp-5864,0.981528925
mp-5867,0.964146631
mp-5887,0.983866583
mp-5889,0.880807507
mp-5900,0.935078055
mp-5901,0.917187248
mp-5908,0.982027256
mp-5909,0.965672458
mp-5913,0.968867446
mp-5914,0.996159697
mp-5915,0.988497723
mp-5924,0.869170942
mp-5926,0.994923475
mp-5950,0.953515022
mp-5951,0.913138833
mp-5955,0.969793283
mp-5957,0.980126385
mp-5960,0.89639037
mp-5965,0.760579358
mp-5972,0.975513531
mp-5974,0.940874044
mp-5981,0.817183387
mp-5990,0.946079617
mp-5996,0.967016105
mp-6008,0.967885236
mp-6013,0.991342392
mp-6017,0.963051887
mp-6018,0.717900817
mp-6019,0.915054377
mp-6026,0.972067267
mp-6030,0.906255891
mp-6031,0.911193775
mp-6036,0.996618158
mp-6040,0.937644164
mp-6044,0.985410554
mp-6046,0.916385206
mp-6049,0.667453203
mp-6051,0.702400211
mp-6054,0.996571812
