,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
24171,mp-776398,-1,24875,Li,0.8468198764613707,0.0
24172,mp-776402,-1,24875,B,0.8468198764613707,0.0
24173,mp-776403,-1,24875,V,0.8468198764613707,0.0
24174,mp-776404,-1,24875,O,0.8468198764613707,0.0
24175,mp-776408,63,282,N,0.21217807133755504,0.08988201439863709
24176,mp-776410,-1,24875,O,0.8468198764613707,0.0
24177,mp-776412,-1,24875,O,0.8468198764613707,0.0
24178,mp-776415,-1,24875,V,0.8468198764613707,0.0
24179,mp-776417,-1,24875,V,0.8468198764613707,0.0
24180,mp-776418,-1,24875,O,0.8468198764613707,0.0
24181,mp-776420,-1,24875,V,0.8468198764613707,0.0
24182,mp-776421,-1,24875,V,0.8468198764613707,0.0
24183,mp-776423,-1,24875,O,0.8468198764613707,0.0
24184,mp-776424,-1,24875,Cu,0.8468198764613707,0.0
24185,mp-776427,-1,24875,O,0.8468198764613707,0.0
24186,mp-776430,-1,24875,Li,0.8468198764613707,0.0
24187,mp-776431,-1,24875,O,0.8468198764613707,0.0
24188,mp-776432,87,42,Cu,0.7085761539709535,1.0
24189,mp-776433,-1,24875,Li,0.8468198764613707,0.0
24190,mp-776434,-1,24875,O,0.8468198764613707,0.0
24191,mp-776436,117,37,V,0.31098332151181274,1.0
24192,mp-776437,-1,24875,La,0.8468198764613707,0.0
24193,mp-776438,-1,24875,V,0.8468198764613707,0.0
24194,mp-776439,156,146,O,0.423239754486608,0.8856217343205056
24195,mp-776440,-1,24875,V,0.8468198764613707,0.0
24196,mp-776441,-1,24875,O,0.8468198764613707,0.0
24197,mp-776442,-1,24875,I,0.8468198764613707,0.0
24198,mp-776444,-1,24875,O,0.8468198764613707,0.0
24199,mp-776445,8,113,Cu,0.5414744247704544,0.4421333446774763
24200,mp-776446,63,282,Li,0.21217807133755504,0.0939376963147548
24201,mp-776449,-1,24875,V,0.8468198764613707,0.0
24202,mp-776451,63,282,Li,0.21217807133755504,0.09342569700445379
24203,mp-776454,-1,24875,Cr,0.8468198764613707,0.0
24204,mp-776456,-1,24875,Ti,0.8468198764613707,0.0
24205,mp-776467,-1,24875,Li,0.8468198764613707,0.0
24206,mp-776468,-1,24875,O,0.8468198764613707,0.0
24207,mp-776472,154,110,O,0.16856183424040494,0.4643494863514603
24208,mp-776473,-1,24875,F,0.8468198764613707,0.0
24209,mp-776474,-1,24875,O,0.8468198764613707,0.0
24210,mp-776475,66,39,O,0.7407267552559651,0.18161273082886198
24211,mp-776476,156,146,O,0.423239754486608,1.0
24212,mp-776477,63,282,Li,0.21217807133755504,0.09403636019436146
24213,mp-776478,-1,24875,O,0.8468198764613707,0.0
24214,mp-776480,-1,24875,V,0.8468198764613707,0.0
24215,mp-776482,63,282,Li,0.21217807133755504,0.09403636019436146
24216,mp-776483,-1,24875,Mn,0.8468198764613707,0.0
24217,mp-776484,-1,24875,Li,0.8468198764613707,0.0
24218,mp-776488,-1,24875,Li,0.8468198764613707,0.0
24219,mp-776489,-1,24875,O,0.8468198764613707,0.0
24220,mp-776490,-1,24875,O,0.8468198764613707,0.0
24221,mp-776491,-1,24875,O,0.8468198764613707,0.0
24222,mp-776497,-1,24875,La,0.8468198764613707,0.0
24223,mp-776498,-1,24875,O,0.8468198764613707,0.0
24224,mp-776501,-1,24875,V,0.8468198764613707,0.0
24225,mp-776502,161,33,O,0.2004242368703885,0.8337636863641703
24226,mp-776505,101,51,Cr,0.43059447004970575,0.9026967583922612
24227,mp-776508,-1,24875,O,0.8468198764613707,0.0
24228,mp-776510,-1,24875,O,0.8468198764613707,0.0
24229,mp-776517,154,110,O,0.16856183424040494,0.4643494863514603
24230,mp-776521,25,119,Ti,0.8100742310566592,0.774917576816453
24231,mp-776522,-1,24875,Li,0.8468198764613707,0.0
24232,mp-776523,-1,24875,O,0.8468198764613707,0.0
24233,mp-776529,-1,24875,Na,0.8468198764613707,0.0
24234,mp-776536,8,113,V,0.5414744247704544,0.3357639105845638
24235,mp-776537,-1,24875,V,0.8468198764613707,0.0
24236,mp-776543,155,44,O,0.40178962347198194,0.8526158971339602
24237,mp-776546,-1,24875,Li,0.8468198764613707,0.0
24238,mp-776549,-1,24875,O,0.8468198764613707,0.0
24239,mp-776551,-1,24875,O,0.8468198764613707,0.0
24240,mp-776552,-1,24875,O,0.8468198764613707,0.0
24241,mp-776553,-1,24875,V,0.8468198764613707,0.0
24242,mp-776555,-1,24875,O,0.8468198764613707,0.0
24243,mp-776557,61,54,V,0.4951498870453423,0.8856692888681925
24244,mp-776567,-1,24875,Na,0.8468198764613707,0.0
24245,mp-776570,-1,24875,Co,0.8468198764613707,0.0
24246,mp-776572,-1,24875,Li,0.8468198764613707,0.0
24247,mp-776573,-1,24875,O,0.8468198764613707,0.0
24248,mp-776574,-1,24875,V,0.8468198764613707,0.0
24249,mp-776576,162,141,O,0.13336993423093385,0.5980529126415248
24250,mp-776577,101,51,V,0.43059447004970575,0.7568966679546715
24251,mp-776579,-1,24875,I,0.8468198764613707,0.0
24252,mp-776583,-1,24875,V,0.8468198764613707,0.0
24253,mp-776587,-1,24875,O,0.8468198764613707,0.0
24254,mp-776589,-1,24875,O,0.8468198764613707,0.0
24255,mp-776591,63,282,Li,0.21217807133755504,0.09276054418972153
24256,mp-776594,-1,24875,O,0.8468198764613707,0.0
24257,mp-776596,-1,24875,V,0.8468198764613707,0.0
24258,mp-776597,-1,24875,O,0.8468198764613707,0.0
24259,mp-776599,-1,24875,O,0.8468198764613707,0.0
24260,mp-776600,-1,24875,Li,0.8468198764613707,0.0
24261,mp-776602,155,44,O,0.40178962347198194,0.7967666471798618
24262,mp-776604,-1,24875,Fe,0.8468198764613707,0.0
24263,mp-776611,-1,24875,Li,0.8468198764613707,0.0
24264,mp-776616,-1,24875,V,0.8468198764613707,0.0
24265,mp-776627,-1,24875,F,0.8468198764613707,0.0
24266,mp-776628,0,25,V,0.8677963952009596,1.0
24267,mp-776630,-1,24875,V,0.8468198764613707,0.0
24268,mp-776638,-1,24875,Mn,0.8468198764613707,0.0
24269,mp-776639,26,66,Li,0.7290418659203914,1.0
24270,mp-776640,20,24,Ti,0.7389810584889508,1.0
24271,mp-776641,-1,24875,O,0.8468198764613707,0.0
